,Unnamed: 0,area,bath,bed,date_check,description,features,location,price,property_date,specific_location,toilet,90_perc,10_perc,forsale_flag,date_flag,50_perc,location_rank,terrace_flag,new_flag,serviced_flag,estate_flag,furnish_flag,flag,island
21103,2371,ado,3,3,"Updated 13 Feb 2020, Added 19 Nov 2019",3Bedroom Flat,3 beds 3 baths 4 Toilets,ajah,700000,2020,Akins off Ado RoadAdo Ajah Lagos,4,1500000,600000,0,2,925000,33,0,0,0,0,0,0,Island
21104,2372,ado,2,1,Added 12 Feb 2020,Miniflat apartments,1 beds 2 baths 2 Toilets,ajah,400000,2020,Owode Ado Ajah Lagos,2,710000,230000,0,1,400000,14,0,0,0,0,0,0,Island
21105,2373,ado,1,1,Added 11 Feb 2020,"newly built,renovated building",1 beds 1 baths 1 Toilets,ajah,250000,2020,"Ado,Lamgbasa,BadoreAdo Ajah Lagos",1,710000,230000,0,1,400000,14,0,1,0,0,0,1,Island
21110,2378,ado,1,1,"Updated 06 Feb 2020, Added 09 Jan 2020",Bedroom and Palour Self con.,1 beds 1 baths 1 Toilets,ajah,550000,2020,"Before Blenco, Ado RdAdo Ajah Lagos",1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21111,2379,ado,1,1,"Updated 06 Feb 2020, Added 22 Jan 2020",A Room and Parlors self con,1 beds 1 baths Toilets,ajah,550000,2020,Marshy Hill Estate Ado Ajah Lagos,0,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21112,2380,ado,3,3,"Updated 06 Feb 2020, Added 29 Jan 2020",3 bedroom flat,3 beds 3 baths 4 Toilets,ajah,1000000,2020,Marshy Hill Estate Ado Ajah Lagos,4,1500000,600000,0,2,925000,33,0,0,0,0,0,0,Island
21117,2385,ado,2,2,"Updated 06 Feb 2020, Added 27 Jan 2020",Newly built 2 bedroom flat,2 beds 2 baths 3 Toilets,ajah,850000,2020,Akins Ado Ajah Lagos,3,1200000,600000,0,2,800000,29,0,1,0,0,0,1,Island
21118,2386,ado,4,4,"Updated 25 Jan 2020, Added 31 May 2019",4 BEDROOM SEMI DETACHED DUPLEX FOR RENT,4 beds 4 baths 5 Toilets,ajah,2400000,2020,Lekki Palm City EstateAdo Ajah Lagos,5,3000000,1370000,0,2,2300000,54,2,0,0,0,0,0,Island
21119,2387,ado,2,2,"Updated 23 Jan 2020, Added 12 Jan 2020",BRAND NEW 2 BEDROOM IN AJAH FOR N750K WITH LOVELY FEATURES,2 beds 2 baths 2 Toilets,ajah,750000,2020,Ado Ajah Lagos,2,1200000,600000,0,2,800000,29,0,1,0,0,0,1,Island
21120,2388,ado,2,2,"Updated 22 Jan 2020, Added 15 Jan 2020",2bedroom flat,2 beds 2 baths 3 Toilets,ajah,900000,2020,Owode langbasa road ajahAdo Ajah Lagos,3,1200000,600000,0,2,800000,29,0,0,0,0,0,0,Island
21121,2389,ado,1,1,"Updated 22 Jan 2020, Added 24 Dec 2019",Mini flat,1 beds 1 baths 1 Toilets,ajah,500000,2020,Off ado road Ado Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21122,2390,ado,2,2,"Updated 22 Jan 2020, Added 05 Jan 2020",2bedroom Flat,2 beds 2 baths 3 Toilets,ajah,650000,2020,Harmony estate langbasa road Ado Ajah Lagos,3,1200000,600000,0,2,800000,29,0,0,0,0,0,0,Island
21123,2391,ado,1,1,"Updated 22 Jan 2020, Added 05 Jan 2020",A room selfcon,1 beds 1 baths 1 Toilets,ajah,400000,2020,Harmony Estate langbasa roadAdo Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21124,2392,ado,1,1,"Updated 22 Jan 2020, Added 05 Jan 2020",Mini flat,1 beds 1 baths 1 Toilets,ajah,500000,2020,Harmony Estate langbasa road Ado Ajah Lagos,1,710000,230000,0,2,400000,14,0,0,0,0,0,0,Island
21125,2393,ado,3,2,Added 14 Jan 2020,brand new 2 bedroom,2 beds 3 baths 3 Toilets,ajah,650000,2020,okira roadAdo Ajah Lagos,3,1200000,600000,0,1,800000,29,0,1,0,0,0,1,Island
21126,2394,ado,1,1,Added 09 Jan 2020,Mini flat,1 beds 1 baths 2 Toilets,ajah,400000,2020,AkinsAdo Ajah Lagos,2,710000,230000,0,1,400000,14,0,0,0,0,0,0,Island
21127,2395,ado,3,2,Added 08 Jan 2020,LUXURY 2 BED ROOM FLAT,2 beds 3 baths 3 Toilets,ajah,1000000,2020,Owode road off Ado Ado Ajah Lagos,3,1200000,600000,0,1,800000,29,0,1,0,0,0,1,Island
21128,2396,ado,3,3,"Updated 06 Jan 2020, Added 14 Jul 2019",A newly built 3bedroom apartment available for rent along ado road in an estate,3 beds 3 baths 4 Toilets,ajah,1200000,2020,Ado Ado Ajah Lagos,4,1500000,600000,0,2,925000,33,0,1,0,1,0,2,Island
